Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene1	LOC101787039	NT_173331_1	+	95	2229	0.043549	53.907753	113.751221
gene3	LOC101787090	NT_173606_1	+	7	1921	6.624899	8200.725586	17304.423828
STRG.1	-	NT_173606_1	+	7	1921	6.624899	8200.725586	17304.423828
STRG.2	-	NT_173845_1	.	5098	5866	2.706307	3351.650146	7072.345703
STRG.3	-	NT_173935_1	.	57	590	13.793515	17075.070312	36030.257812
STRG.4	-	NT_174065_1	.	1388	3535	6.467561	8006.263672	16894.085938
STRG.5	-	NT_174065_1	.	6393	7120	7.493820	9277.012695	19575.505859
gene39	LOC101788042	NT_174741_1	+	245	6286	0.000000	0.000000	0.000000
STRG.6	-	NT_174863_1	.	12874	13306	6.801539	8421.525391	17770.335938
gene50	LOC101788396	NT_174948_1	+	5056	9956	0.065327	80.865967	170.635971
gene51	LOC100724690	NT_174959_1	+	914	3901	0.081225	100.545525	212.161987
gene57	LOC100726326	NT_175057_1	-	3330	6327	0.086728	107.357491	226.535980
gene58	LOC100726873	NT_175073_1	+	1124	7505	0.473684	586.356506	1237.276001
gene66	LOC101788827	NT_175141_1	+	263	10122	0.000000	0.000000	0.000000
STRG.7	-	NT_175159_1	.	4730	5045	10.805647	13376.901367	28226.716797
gene72	LOC101788971	NT_175239_1	+	3004	20310	0.068404	84.674866	178.673172
gene75	LOC101789052	NT_175296_1	+	8754	22566	0.000000	0.000000	0.000000
gene79	LOC101789168	NT_175309_1	+	3020	4630	0.229885	285.988739	603.467346
STRG.8	-	NT_175309_1	+	3020	4630	0.229885	285.988739	603.467346
gene85	LOC100731323	NT_175327_1	+	157	10888	0.199566	247.035629	521.272034
gene88	LOC101787107	NT_175338_1	+	2167	23722	0.162207	200.790268	423.689270
gene90	LOC100732142	NT_175366_1	+	9472	20217	0.000000	0.000000	0.000000
gene101	LOC100736052	NT_175438_1	+	341	21474	0.000000	0.000000	0.000000
gene106	LOC101787580	NT_175462_1	+	21508	28457	0.139633	172.846695	364.725342
