Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.1	-	gi_47566322_ref_NC_007322.2_	.	107912	108208	2.686869	9291.286133	17452.828125
STRG.2	-	gi_47566322_ref_NC_007322.2_	.	144812	146062	7.900879	27290.080078	51261.914062
STRG.3	-	gi_50163691_ref_NC_007323.3_	.	52653	53362	2.673239	9237.449219	17351.701172
STRG.4	-	gi_50163691_ref_NC_007323.3_	.	54981	55230	2.788000	9642.749023	18113.019531
STRG.5	-	gi_50163691_ref_NC_007323.3_	.	61226	61703	2.669456	9226.742188	17331.589844
STRG.6	-	gi_50163691_ref_NC_007323.3_	.	61816	62716	3.413985	11794.732422	22155.324219
STRG.7	-	gi_50196905_ref_NC_007530.2_	.	25163	25366	2.867647	9937.871094	18667.380859
STRG.8	-	gi_50196905_ref_NC_007530.2_	.	119310	120415	3.296564	11388.486328	21392.228516
STRG.9	-	gi_50196905_ref_NC_007530.2_	.	123346	123694	2.819484	9747.569336	18309.914062
STRG.10	-	gi_50196905_ref_NC_007530.2_	.	128804	129079	2.884058	9973.203125	18733.748047
STRG.11	-	gi_50196905_ref_NC_007530.2_	.	129261	130315	3.078673	10636.107422	19978.953125
STRG.12	-	gi_50196905_ref_NC_007530.2_	.	169807	170201	2.764557	9556.712891	17951.410156
STRG.13	-	gi_50196905_ref_NC_007530.2_	.	226277	226544	5.160448	17835.558594	33502.460938
STRG.14	-	gi_50196905_ref_NC_007530.2_	.	258689	258948	3.053846	10560.371094	19836.689453
STRG.15	-	gi_50196905_ref_NC_007530.2_	.	259663	260016	4.101695	14175.807617	26627.953125
STRG.16	-	gi_50196905_ref_NC_007530.2_	.	504708	506353	3.175577	10969.610352	20605.408203
STRG.17	-	gi_50196905_ref_NC_007530.2_	.	506412	506624	3.262911	11285.352539	21198.500000
STRG.18	-	gi_50196905_ref_NC_007530.2_	.	1447211	1447431	6.063348	20972.281250	39394.507812
STRG.19	-	gi_50196905_ref_NC_007530.2_	.	1488982	1489511	4.426415	15294.054688	28728.482422
STRG.20	-	gi_50196905_ref_NC_007530.2_	.	1639949	1640303	3.354930	11596.668945	21783.281250
STRG.21	-	gi_50196905_ref_NC_007530.2_	.	1981799	1982028	3.330435	11532.375000	21662.509766
STRG.22	-	gi_50196905_ref_NC_007530.2_	.	2003483	2004372	2.667416	9216.350586	17312.070312
STRG.23	-	gi_50196905_ref_NC_007530.2_	.	2112263	2113188	3.663067	12658.618164	23778.054688
STRG.24	-	gi_50196905_ref_NC_007530.2_	.	3299640	3299884	6.004082	20750.431641	38977.785156
STRG.25	-	gi_50196905_ref_NC_007530.2_	.	3353803	3354085	3.505300	12118.482422	22763.458984
STRG.26	-	gi_50196905_ref_NC_007530.2_	.	3643474	3643682	2.808612	9733.172852	18282.875000
STRG.27	-	gi_50196905_ref_NC_007530.2_	.	4176968	4177590	3.492777	12068.569336	22669.703125
STRG.28	-	gi_50196905_ref_NC_007530.2_	.	4178210	4178464	3.450980	11932.217773	22413.576172
